"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "Batch", "TypeScript JSX", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"c:\Code\2024\linlaw\src\components\FileUploader\FileUploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 21, 196
"c:\Code\2024\linlaw\src\components\FileUploader\UploadProgressList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 6, 79
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayChildDesignRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 10, 116
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayChildDesigns\ArrayChildCardDesign.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 45
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayChildDesigns\ArrayChildListDesign.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 4, 48
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayChildDesigns\ArrayChildNoneDesign.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayChildDesigns\ArrayChildTableDesign.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 2, 7, 85
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayDesignRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 11, 128
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayDesigns\ArrayDefaultCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayDesigns\ArrayFlatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayDesigns\ArrayFlatOutsideCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 7, 70
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayDesigns\ArrayNoneCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayDesigns\ArrayParentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 5, 47
"c:\Code\2024\linlaw\src\components\FormBuilder\Arrays\ArrayFieldRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 15, 129
"c:\Code\2024\linlaw\src\components\FormBuilder\CombinedField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 9, 77
"c:\Code\2024\linlaw\src\components\FormBuilder\CustomModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\FieldDesignRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 13, 87
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\FieldDesigns\FieldDefaultCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 4, 41
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\FieldDesigns\FieldParentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\FieldDesigns\FieldRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
