"filename", "language", "JSON", "JSON with Comments", "TypeScript", "HTML", "Batch", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Code\2024\linlaw\src\components\FormBuilder\Jsons\JsonDesigns\JsonFlatOutsideCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 8, 64
"c:\Code\2024\linlaw\src\components\FormBuilder\Jsons\JsonDesigns\JsonNone.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Code\2024\linlaw\src\components\FormBuilder\Jsons\JsonDesigns\JsonParentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 7, 64
"c:\Code\2024\linlaw\src\components\FormBuilder\Jsons\JsonFieldRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 3, 25, 220
"c:\Code\2024\linlaw\src\components\FormBuilder\SortableItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Code\2024\linlaw\src\components\RelatedBusinessCard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 15, 115
"c:\Code\2024\linlaw\src\components\RelatedBusinessCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 1, 29, 217
"c:\Code\2024\linlaw\src\components\forms\NewsletterForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 6, 20, 259
"c:\Code\2024\linlaw\src\components\forms\ProfileUpdateForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 17, 131
"c:\Code\2024\linlaw\src\components\forms\RelatedBusinessForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 598, 0, 0, 4, 57, 659
"c:\Code\2024\linlaw\src\components\forms\RoleForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 0, 30, 354
"c:\Code\2024\linlaw\src\components\forms\SetupForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 242, 0, 0, 0, 21, 263
"c:\Code\2024\linlaw\src\components\forms\UserForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 277, 0, 0, 1, 28, 306
"c:\Code\2024\linlaw\src\components\inputs\ImageCropper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 26, 172
"c:\Code\2024\linlaw\src\components\inputs\LanguageTextInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 10, 86
"c:\Code\2024\linlaw\src\components\inputs\ProfileAvatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 262, 0, 0, 1, 38, 301
"c:\Code\2024\linlaw\src\components\inputs\PublicAPIDynamicDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 24, 131
